,Event_Name,Tweet_Timestamp,Hour,Day,Count
255,Boxing Day,10/26/2022 13:00,13,10/26/2022,0
256,Boxing Day,10/26/2022 14:00,14,10/26/2022,0
257,Boxing Day,10/26/2022 15:00,15,10/26/2022,0
258,Boxing Day,10/26/2022 16:00,16,10/26/2022,0
259,Boxing Day,10/26/2022 17:00,17,10/26/2022,0
260,Boxing Day,10/26/2022 18:00,18,10/26/2022,0
261,Boxing Day,10/26/2022 19:00,19,10/26/2022,0
262,Boxing Day,10/26/2022 20:00,20,10/26/2022,0
263,Boxing Day,10/26/2022 21:00,21,10/26/2022,0
264,Boxing Day,10/26/2022 22:00,22,10/26/2022,0
265,Boxing Day,10/26/2022 23:00,23,10/26/2022,0
266,Boxing Day,10/27/2022 0:00,0,10/27/2022,0
267,Boxing Day,10/27/2022 1:00,1,10/27/2022,0
268,Boxing Day,10/27/2022 2:00,2,10/27/2022,0
269,Boxing Day,10/27/2022 3:00,3,10/27/2022,0
270,Boxing Day,10/27/2022 4:00,4,10/27/2022,0
271,Boxing Day,10/27/2022 5:00,5,10/27/2022,0
272,Boxing Day,10/27/2022 6:00,6,10/27/2022,0
273,Boxing Day,10/27/2022 7:00,7,10/27/2022,0
274,Boxing Day,10/27/2022 8:00,8,10/27/2022,0
275,Boxing Day,10/27/2022 9:00,9,10/27/2022,0
276,Boxing Day,10/27/2022 10:00,10,10/27/2022,0
277,Boxing Day,10/27/2022 11:00,11,10/27/2022,0
278,Boxing Day,10/27/2022 12:00,12,10/27/2022,0
279,Boxing Day,10/27/2022 13:00,13,10/27/2022,0
280,Boxing Day,10/27/2022 14:00,14,10/27/2022,0
281,Boxing Day,10/27/2022 15:00,15,10/27/2022,0
282,Boxing Day,10/27/2022 16:00,16,10/27/2022,0
283,Boxing Day,10/27/2022 17:00,17,10/27/2022,0
284,Boxing Day,10/27/2022 18:00,18,10/27/2022,0
285,Boxing Day,10/27/2022 19:00,19,10/27/2022,0
286,Boxing Day,10/27/2022 20:00,20,10/27/2022,0
287,Boxing Day,10/27/2022 21:00,21,10/27/2022,0
288,Boxing Day,10/27/2022 22:00,22,10/27/2022,0
289,Boxing Day,10/27/2022 23:00,23,10/27/2022,0
290,Boxing Day,10/28/2022 0:00,0,10/28/2022,0
291,Boxing Day,10/28/2022 1:00,1,10/28/2022,0
292,Boxing Day,10/28/2022 2:00,2,10/28/2022,0
293,Boxing Day,10/28/2022 3:00,3,10/28/2022,0
294,Boxing Day,10/28/2022 4:00,4,10/28/2022,0
295,Boxing Day,10/28/2022 5:00,5,10/28/2022,0
296,Boxing Day,10/28/2022 6:00,6,10/28/2022,0
297,Boxing Day,10/28/2022 7:00,7,10/28/2022,0
298,Boxing Day,10/28/2022 8:00,8,10/28/2022,0
299,Boxing Day,10/28/2022 9:00,9,10/28/2022,0
300,Boxing Day,10/28/2022 10:00,10,10/28/2022,0
301,Boxing Day,10/28/2022 11:00,11,10/28/2022,0
302,Boxing Day,10/28/2022 12:00,12,10/28/2022,0
303,Boxing Day,10/28/2022 13:00,13,10/28/2022,0
304,Boxing Day,10/28/2022 14:00,14,10/28/2022,0
305,Boxing Day,10/28/2022 15:00,15,10/28/2022,0
306,Boxing Day,10/28/2022 16:00,16,10/28/2022,0
307,Boxing Day,10/28/2022 17:00,17,10/28/2022,0
308,Boxing Day,10/28/2022 18:00,18,10/28/2022,0
309,Boxing Day,10/28/2022 19:00,19,10/28/2022,0
310,Boxing Day,10/28/2022 20:00,20,10/28/2022,0
311,Boxing Day,10/28/2022 21:00,21,10/28/2022,0
312,Boxing Day,10/28/2022 22:00,22,10/28/2022,0
313,Boxing Day,10/28/2022 23:00,23,10/28/2022,0
314,Boxing Day,10/29/2022 0:00,0,10/29/2022,0
315,Boxing Day,10/29/2022 1:00,1,10/29/2022,0
316,Boxing Day,10/29/2022 2:00,2,10/29/2022,0
317,Boxing Day,10/29/2022 3:00,3,10/29/2022,0
318,Boxing Day,10/29/2022 4:00,4,10/29/2022,0
319,Boxing Day,10/29/2022 5:00,5,10/29/2022,0
320,Boxing Day,10/29/2022 6:00,6,10/29/2022,0
321,Boxing Day,10/29/2022 7:00,7,10/29/2022,0
322,Boxing Day,10/29/2022 8:00,8,10/29/2022,0
323,Boxing Day,10/29/2022 9:00,9,10/29/2022,0
324,Boxing Day,10/29/2022 10:00,10,10/29/2022,0
325,Boxing Day,10/29/2022 11:00,11,10/29/2022,0
326,Boxing Day,10/29/2022 12:00,12,10/29/2022,0
327,Boxing Day,10/29/2022 13:00,13,10/29/2022,0
328,Boxing Day,10/29/2022 14:00,14,10/29/2022,0
329,Boxing Day,10/29/2022 15:00,15,10/29/2022,0
330,Boxing Day,10/29/2022 16:00,16,10/29/2022,0
331,Boxing Day,10/29/2022 17:00,17,10/29/2022,0
332,Boxing Day,10/29/2022 18:00,18,10/29/2022,0
333,Boxing Day,10/29/2022 19:00,19,10/29/2022,0
334,Boxing Day,10/29/2022 20:00,20,10/29/2022,0
335,Boxing Day,10/29/2022 21:00,21,10/29/2022,0
336,Boxing Day,10/29/2022 22:00,22,10/29/2022,1
337,Boxing Day,10/29/2022 23:00,23,10/29/2022,0
338,Boxing Day,10/30/2022 0:00,0,10/30/2022,0
339,Boxing Day,10/30/2022 1:00,1,10/30/2022,0
340,Boxing Day,10/30/2022 2:00,2,10/30/2022,0
341,Boxing Day,10/30/2022 3:00,3,10/30/2022,0
342,Boxing Day,10/30/2022 4:00,4,10/30/2022,0
343,Boxing Day,10/30/2022 5:00,5,10/30/2022,0
344,Boxing Day,10/30/2022 6:00,6,10/30/2022,0
345,Boxing Day,10/30/2022 7:00,7,10/30/2022,0
346,Boxing Day,10/30/2022 8:00,8,10/30/2022,0
347,Boxing Day,10/30/2022 9:00,9,10/30/2022,0
348,Boxing Day,10/30/2022 10:00,10,10/30/2022,0
349,Boxing Day,10/30/2022 11:00,11,10/30/2022,0
350,Boxing Day,10/30/2022 12:00,12,10/30/2022,0
351,Boxing Day,10/30/2022 13:00,13,10/30/2022,0
352,Boxing Day,10/30/2022 14:00,14,10/30/2022,0
353,Boxing Day,10/30/2022 15:00,15,10/30/2022,0
354,Boxing Day,10/30/2022 16:00,16,10/30/2022,0
355,Boxing Day,10/30/2022 17:00,17,10/30/2022,0
356,Boxing Day,10/30/2022 18:00,18,10/30/2022,0
357,Boxing Day,10/30/2022 19:00,19,10/30/2022,0
358,Boxing Day,10/30/2022 20:00,20,10/30/2022,0
359,Boxing Day,10/30/2022 21:00,21,10/30/2022,0
360,Boxing Day,10/30/2022 22:00,22,10/30/2022,0
361,Boxing Day,10/30/2022 23:00,23,10/30/2022,0
362,Boxing Day,10/31/2022 0:00,0,10/31/2022,0
363,Boxing Day,10/31/2022 1:00,1,10/31/2022,0
364,Boxing Day,10/31/2022 2:00,2,10/31/2022,0
365,Boxing Day,10/31/2022 3:00,3,10/31/2022,0
366,Boxing Day,10/31/2022 4:00,4,10/31/2022,0
367,Boxing Day,10/31/2022 5:00,5,10/31/2022,0
368,Boxing Day,10/31/2022 6:00,6,10/31/2022,0
369,Boxing Day,10/31/2022 7:00,7,10/31/2022,0
370,Boxing Day,10/31/2022 8:00,8,10/31/2022,0
371,Boxing Day,10/31/2022 9:00,9,10/31/2022,0
372,Boxing Day,10/31/2022 10:00,10,10/31/2022,0
373,Boxing Day,10/31/2022 11:00,11,10/31/2022,0
374,Boxing Day,10/31/2022 12:00,12,10/31/2022,0
375,Boxing Day,10/31/2022 13:00,13,10/31/2022,0
376,Boxing Day,10/31/2022 14:00,14,10/31/2022,0
377,Boxing Day,10/31/2022 15:00,15,10/31/2022,0
378,Boxing Day,10/31/2022 16:00,16,10/31/2022,0
379,Boxing Day,10/31/2022 17:00,17,10/31/2022,0
380,Boxing Day,10/31/2022 18:00,18,10/31/2022,0
381,Boxing Day,10/31/2022 19:00,19,10/31/2022,0
382,Boxing Day,10/31/2022 20:00,20,10/31/2022,0
383,Boxing Day,10/31/2022 21:00,21,10/31/2022,0
384,Boxing Day,10/31/2022 22:00,22,10/31/2022,1
385,Boxing Day,10/31/2022 23:00,23,10/31/2022,0
386,Boxing Day,11/1/2022 0:00,0,11/1/2022,0
387,Boxing Day,11/1/2022 1:00,1,11/1/2022,0
